        s,        t,        r,      phi,        x,        y
  204.226,  202.968,  9.72712, 12.60632,   9.7194,   0.3885
  204.395,  203.150,  9.73278, 12.60964,   9.7237,   0.4210
  204.564,  203.331,  9.73837, 12.61295,   9.7278,   0.4534
  204.732,  203.513,  9.74390, 12.61626,   9.7318,   0.4859
  204.901,  203.694,  9.74938, 12.61957,   9.7356,   0.5184
  205.070,  203.876,  9.75479, 12.62287,   9.7392,   0.5509
  205.239,  204.057,  9.76014, 12.62617,   9.7427,   0.5833
  205.407,  204.239,  9.76544, 12.62947,   9.7460,   0.6158
  205.576,  204.420,  9.77067, 12.63276,   9.7491,   0.6482
  205.745,  204.602,  9.77585, 12.63605,   9.7521,   0.6806
  205.914,  204.783,  9.78096, 12.63933,   9.7549,   0.7130
  206.083,  204.964,  9.78602, 12.64262,   9.7576,   0.7454
  206.251,  205.146,  9.79102, 12.64590,   9.7601,   0.7778
  206.420,  205.327,  9.79595, 12.64917,   9.7624,   0.8102
  206.589,  205.509,  9.80083, 12.65244,   9.7645,   0.8425
  206.758,  205.690,  9.80565, 12.65571,   9.7665,   0.8749
  206.926,  205.871,  9.81041, 12.65898,   9.7684,   0.9072
  207.095,  206.053,  9.81511, 12.66224,   9.7700,   0.9395
  207.264,  206.234,  9.81975, 12.66550,   9.7715,   0.9718
  207.433,  206.415,  9.82433, 12.66876,   9.7729,   1.0041
  207.602,  206.597,  9.82885, 12.67201,   9.7741,   1.0364
  207.770,  206.778,  9.83331, 12.67526,   9.7751,   1.0686
  207.939,  206.959,  9.83771, 12.67851,   9.7759,   1.1009
  208.108,  207.141,  9.84205, 12.68175,   9.7766,   1.1331
  208.277,  207.322,  9.84634, 12.68499,   9.7771,   1.1653
  208.446,  207.503,  9.85056, 12.68823,   9.7775,   1.1974
  208.614,  207.684,  9.85473, 12.69147,   9.7777,   1.2296
  208.783,  207.866,  9.85883, 12.69470,   9.7778,   1.2617
  208.952,  208.047,  9.86288, 12.69793,   9.7776,   1.2939
  209.121,  208.228,  9.86687, 12.70116,   9.7774,   1.3259
  209.289,  208.409,  9.87079, 12.70439,   9.7769,   1.3580
  209.458,  208.591,  9.87466, 12.70761,   9.7763,   1.3901
  209.627,  208.772,  9.87847, 12.71083,   9.7756,   1.4221
  209.796,  208.953,  9.88222, 12.71405,   9.7747,   1.4541
  209.965,  209.134,  9.88592, 12.71727,   9.7736,   1.4861
  210.133,  209.315,  9.88955, 12.72048,   9.7723,   1.5180
  210.302,  209.497,  9.89312, 12.72369,   9.7709,   1.5500
  210.471,  209.678,  9.89664, 12.72690,   9.7694,   1.5819
  210.640,  209.859,  9.90009, 12.73011,   9.7677,   1.6138
  210.808,  210.040,  9.90349, 12.73331,   9.7658,   1.6456
  210.977,  210.221,  9.90683, 12.73651,   9.7638,   1.6774
  211.146,  210.403,  9.91010, 12.73971,   9.7616,   1.7092
  211.315,  210.584,  9.91332, 12.74291,   9.7592,   1.7410
  211.484,  210.765,  9.91648, 12.74611,   9.7567,   1.7728
  211.652,  210.946,  9.91959, 12.74930,   9.7541,   1.8045
  211.821,  211.127,  9.92263, 12.75249,   9.7513,   1.8362
  211.990,  211.308,  9.92561, 12.75568,   9.7483,   1.8678
  212.159,  211.489,  9.92854, 12.75887,   9.7452,   1.8994
  212.327,  211.670,  9.93140, 12.76205,   9.7419,   1.9310
  212.496,  211.852,  9.93421, 12.76524,   9.7384,   1.9626
  212.665,  212.033,  9.93696, 12.76842,   9.7348,   1.9941
  212.834,  212.214,  9.93965, 12.77160,   9.7311,   2.0256
  213.003,  212.395,  9.94228, 12.77478,   9.7271,   2.0571
  213.171,  212.576,  9.94485, 12.77796,   9.7231,   2.0885
  213.340,  212.757,  9.94736, 12.78113,   9.7188,   2.1199
  213.509,  212.938,  9.94982, 12.78431,   9.7145,   2.1513
  213.678,  213.119,  9.95221, 12.78748,   9.7099,   2.1827
  213.847,  213.300,  9.95455, 12.79065,   9.7052,   2.2140
  214.015,  213.481,  9.95683, 12.79382,   9.7004,   2.2452
  214.184,  213.662,  9.95904, 12.79699,   9.6954,   2.2764
  214.353,  213.843,  9.96120, 12.80016,   9.6902,   2.3076
  214.522,  214.024,  9.96331, 12.80332,   9.6849,   2.3388
  214.690,  214.205,  9.96535, 12.80649,   9.6794,   2.3699
  214.859,  214.386,  9.96733, 12.80965,   9.6738,   2.4010
  215.028,  214.567,  9.96926, 12.81281,   9.6681,   2.4320
  215.197,  214.748,  9.97113, 12.81597,   9.6621,   2.4630
  215.366,  214.930,  9.97293, 12.81913,   9.6561,   2.4940
  215.534,  215.111,  9.97468, 12.82229,   9.6498,   2.5249
  215.703,  215.292,  9.97637, 12.82545,   9.6434,   2.5558
  215.872,  215.473,  9.97801, 12.82860,   9.6369,   2.5867
  216.041,  215.654,  9.97958, 12.83176,   9.6302,   2.6175
  216.209,  215.835,  9.98109, 12.83491,   9.6234,   2.6482
  216.378,  216.016,  9.98255, 12.83806,   9.6164,   2.6789
  216.547,  216.197,  9.98395, 12.84122,   9.6092,   2.7096
  216.716,  216.378,  9.98529, 12.84437,   9.6019,   2.7403
  216.885,  216.559,  9.98657, 12.84752,   9.5945,   2.7709
  217.053,  216.740,  9.98779, 12.85067,   9.5869,   2.8014
  217.222,  216.921,  9.98895, 12.85382,   9.5791,   2.8319
  217.391,  217.102,  9.99005, 12.85696,   9.5712,   2.8624
  217.560,  217.283,  9.99110, 12.86011,   9.5632,   2.8928
  217.729,  217.464,  9.99209, 12.86326,   9.5549,   2.9231
  217.897,  217.644,  9.99302, 12.86641,   9.5466,   2.9535
  218.066,  217.825,  9.99389, 12.86955,   9.5381,   2.9837
  218.235,  218.006,  9.99470, 12.87270,   9.5294,   3.0140
  218.404,  218.187,  9.99545, 12.87584,   9.5206,   3.0442
  218.572,  218.368,  9.99615, 12.87899,   9.5117,   3.0743
  218.741,  218.549,  9.99678, 12.88213,   9.5026,   3.1044
  218.910,  218.730,  9.99736, 12.88527,   9.4933,   3.1344
  219.079,  218.911,  9.99788, 12.88842,   9.4839,   3.1644
  219.248,  219.092,  9.99834, 12.89156,   9.4743,   3.1943
  219.416,  219.273,  9.99874, 12.89470,   9.4646,   3.2242
  219.585,  219.454,  9.99908, 12.89784,   9.4548,   3.2541
  219.754,  219.635,  9.99937, 12.90099,   9.4448,   3.2838
  219.923,  219.816,  9.99959, 12.90413,   9.4346,   3.3136
  220.091,  219.997,  9.99976, 12.90727,   9.4243,   3.3433
  220.260,  220.178,  9.99987, 12.91041,   9.4139,   3.3729
  220.429,  220.359,  9.99992, 12.91355,   9.4033,   3.4025
  220.598,  220.540,  9.99991, 12.91669,   9.3925,   3.4320
  220.767,  220.721,  9.99984, 12.91984,   9.3816,   3.4615
  220.935,  220.902,  9.99972, 12.92298,   9.3706,   3.4909
  221.104,  221.083,  9.99953, 12.92612,   9.3594,   3.5202
  221.273,  221.264,  9.99929, 12.92926,   9.3481,   3.5495
  221.442,  221.445,  9.99899, 12.93240,   9.3366,   3.5788
  221.610,  221.626,  9.99863, 12.93555,   9.3250,   3.6080
  221.779,  221.807,  9.99821, 12.93869,   9.3132,   3.6371
  221.948,  221.988,  9.99774, 12.94183,   9.3013,   3.6662
  222.117,  222.169,  9.99720, 12.94497,   9.2892,   3.6952
  222.286,  222.350,  9.99661, 12.94812,   9.2770,   3.7242
  222.454,  222.531,  9.99596, 12.95126,   9.2646,   3.7531
  222.623,  222.712,  9.99525, 12.95441,   9.2521,   3.7819
  222.792,  222.893,  9.99448, 12.95755,   9.2395,   3.8107
  222.961,  223.074,  9.99365, 12.96070,   9.2267,   3.8394
  223.130,  223.255,  9.99276, 12.96384,   9.2137,   3.8681
  223.298,  223.436,  9.99182, 12.96699,   9.2007,   3.8967
  223.467,  223.617,  9.99081, 12.97014,   9.1874,   3.9252
  223.636,  223.798,  9.98975, 12.97328,   9.1741,   3.9537
  223.805,  223.979,  9.98863, 12.97643,   9.1605,   3.9821
  223.973,  224.160,  9.98745, 12.97958,   9.1469,   4.0105
  224.142,  224.341,  9.98621, 12.98273,   9.1331,   4.0388
  224.311,  224.522,  9.98492, 12.98588,   9.1191,   4.0670
  224.480,  224.703,  9.98356, 12.98903,   9.1050,   4.0952
  224.649,  224.884,  9.98215, 12.99219,   9.0908,   4.1233
  224.817,  225.065,  9.98067, 12.99534,   9.0764,   4.1513
  224.986,  225.246,  9.97914, 12.99849,   9.0618,   4.1793
  225.155,  225.427,  9.97755, 13.00165,   9.0472,   4.2072
  225.324,  225.608,  9.97590, 13.00481,   9.0324,   4.2350
  225.492,  225.789,  9.97420, 13.00796,   9.0174,   4.2628
  225.661,  225.970,  9.97243, 13.01112,   9.0023,   4.2905
  225.830,  226.151,  9.97061, 13.01428,   8.9870,   4.3181
  225.999,  226.332,  9.96872, 13.01744,   8.9717,   4.3457
  226.168,  226.513,  9.96678, 13.02060,   8.9561,   4.3732
  226.336,  226.694,  9.96478, 13.02377,   8.9405,   4.4006
  226.505,  226.875,  9.96272, 13.02693,   8.9246,   4.4279
  226.674,  227.056,  9.96060, 13.03010,   8.9087,   4.4552
  226.843,  227.237,  9.95843, 13.03326,   8.8926,   4.4824
  227.012,  227.418,  9.95619, 13.03643,   8.8763,   4.5096
  227.180,  227.599,  9.95390, 13.03960,   8.8600,   4.5366
  227.349,  227.780,  9.95154, 13.04277,   8.8434,   4.5636
  227.518,  227.961,  9.94913, 13.04595,   8.8268,   4.5906
  227.687,  228.142,  9.94666, 13.04912,   8.8100,   4.6174
  227.855,  228.323,  9.94413, 13.05230,   8.7930,   4.6442
  228.024,  228.504,  9.94154, 13.05548,   8.7759,   4.6709
  228.193,  228.685,  9.93890, 13.05866,   8.7587,   4.6975
  228.362,  228.867,  9.93619, 13.06184,   8.7413,   4.7241
  228.531,  229.048,  9.93343, 13.06502,   8.7238,   4.7506
  228.699,  229.229,  9.93060, 13.06821,   8.7062,   4.7770
  228.868,  229.410,  9.92772, 13.07139,   8.6884,   4.8033
  229.037,  229.591,  9.92478, 13.07458,   8.6705,   4.8295
  229.206,  229.772,  9.92178, 13.07777,   8.6524,   4.8557
  229.374,  229.953,  9.91872, 13.08096,   8.6342,   4.8818
  229.543,  230.134,  9.91560, 13.08416,   8.6158,   4.9078
  229.712,  230.316,  9.91243, 13.08735,   8.5973,   4.9337
  229.881,  230.497,  9.90919, 13.09055,   8.5787,   4.9596
  230.050,  230.678,  9.90589, 13.09375,   8.5600,   4.9854
  230.218,  230.859,  9.90254, 13.09696,   8.5411,   5.0111
  230.387,  231.040,  9.89913, 13.10016,   8.5220,   5.0367
  230.556,  231.221,  9.89566, 13.10337,   8.5028,   5.0622
  230.725,  231.403,  9.89212, 13.10658,   8.4835,   5.0876
  230.893,  231.584,  9.88853, 13.10979,   8.4641,   5.1130
  231.062,  231.765,  9.88489, 13.11300,   8.4445,   5.1383
  231.231,  231.946,  9.88118, 13.11622,   8.4247,   5.1635
  231.400,  232.127,  9.87741, 13.11944,   8.4049,   5.1886
  231.569,  232.309,  9.87358, 13.12266,   8.3849,   5.2136
  231.737,  232.490,  9.86970, 13.12588,   8.3647,   5.2386
  231.906,  232.671,  9.86575, 13.12911,   8.3444,   5.2634
  232.075,  232.852,  9.86175, 13.13234,   8.3240,   5.2882
  232.244,  233.034,  9.85769, 13.13557,   8.3035,   5.3129
  232.413,  233.215,  9.85356, 13.13880,   8.2828,   5.3375
  232.581,  233.396,  9.84938, 13.14204,   8.2619,   5.3620
  232.750,  233.577,  9.84514, 13.14528,   8.2410,   5.3864
  232.919,  233.759,  9.84084, 13.14852,   8.2199,   5.4107
  233.088,  233.940,  9.83648, 13.15177,   8.1986,   5.4350
  233.256,  234.121,  9.83206, 13.15502,   8.1773,   5.4591
  233.425,  234.303,  9.82758, 13.15827,   8.1557,   5.4832
  233.594,  234.484,  9.82305, 13.16152,   8.1341,   5.5071
  233.763,  234.665,  9.81845, 13.16478,   8.1123,   5.5310
  233.932,  234.847,  9.81379, 13.16804,   8.0904,   5.5548
  234.100,  235.028,  9.80908, 13.17130,   8.0684,   5.5785
  234.269,  235.209,  9.80430, 13.17457,   8.0462,   5.6021
  234.438,  235.391,  9.79947, 13.17784,   8.0238,   5.6256
  234.607,  235.572,  9.79457, 13.18111,   8.0014,   5.6490
  234.775,  235.753,  9.78962, 13.18439,   7.9788,   5.6723
  234.944,  235.935,  9.78461, 13.18767,   7.9561,   5.6955
  235.113,  236.116,  9.77953, 13.19095,   7.9332,   5.7187
  235.282,  236.298,  9.77440, 13.19424,   7.9102,   5.7417
  235.451,  236.479,  9.76921, 13.19753,   7.8871,   5.7646
  235.619,  236.661,  9.76396, 13.20082,   7.8639,   5.7875
  235.788,  236.842,  9.75865, 13.20412,   7.8405,   5.8102
  235.957,  237.023,  9.75328, 13.20742,   7.8169,   5.8328
  236.126,  237.205,  9.74785, 13.21073,   7.7933,   5.8554
  236.295,  237.386,  9.74236, 13.21403,   7.7695,   5.8778
  236.463,  237.568,  9.73680, 13.21735,   7.7456,   5.9001
  236.632,  237.749,  9.73119, 13.22066,   7.7215,   5.9224
  236.801,  237.931,  9.72553, 13.22398,   7.6973,   5.9445
  236.970,  238.113,  9.71980, 13.22731,   7.6730,   5.9665
  237.138,  238.294,  9.71401, 13.23063,   7.6485,   5.9885
  237.307,  238.476,  9.70816, 13.23396,   7.6240,   6.0103
  237.476,  238.657,  9.70225, 13.23730,   7.5992,   6.0320
  237.645,  238.839,  9.69628, 13.24064,   7.5744,   6.0536
  237.814,  239.020,  9.69025, 13.24398,   7.5494,   6.0751
  237.982,  239.202,  9.68416, 13.24733,   7.5243,   6.0966
  238.151,  239.384,  9.67801, 13.25068,   7.4990,   6.1179
  238.320,  239.565,  9.67180, 13.25404,   7.4737,   6.1390
  238.489,  239.747,  9.66553, 13.25740,   7.4482,   6.1601
  238.657,  239.929,  9.65920, 13.26076,   7.4225,   6.1811
  238.826,  240.110,  9.65281, 13.26413,   7.3968,   6.2020
  238.995,  240.292,  9.64636, 13.26751,   7.3709,   6.2227
  239.164,  240.474,  9.63985, 13.27089,   7.3448,   6.2434
  239.333,  240.656,  9.63328, 13.27427,   7.3187,   6.2639
  239.501,  240.837,  9.62665, 13.27766,   7.2924,   6.2844
  239.670,  241.019,  9.61996, 13.28105,   7.2660,   6.3047
  239.839,  241.201,  9.61321, 13.28445,   7.2394,   6.3249
  240.008,  241.383,  9.60640, 13.28785,   7.2128,   6.3450
  240.176,  241.564,  9.59952, 13.29126,   7.1860,   6.3650
  240.345,  241.746,  9.59259, 13.29467,   7.1590,   6.3848
  240.514,  241.928,  9.58560, 13.29808,   7.1320,   6.4046
  240.683,  242.110,  9.57855, 13.30151,   7.1048,   6.4242
  240.852,  242.292,  9.57143, 13.30493,   7.0775,   6.4437
  241.020,  242.474,  9.56426, 13.30836,   7.0500,   6.4631
  241.189,  242.656,  9.55702, 13.31180,   7.0225,   6.4824
  241.358,  242.837,  9.54973, 13.31524,   6.9948,   6.5016
  241.527,  243.019,  9.54237, 13.31869,   6.9669,   6.5206
  241.696,  243.201,  9.53495, 13.32214,   6.9390,   6.5396
  241.864,  243.383,  9.52747, 13.32560,   6.9109,   6.5584
  242.033,  243.565,  9.51994, 13.32907,   6.8827,   6.5771
  242.202,  243.747,  9.51234, 13.33253,   6.8544,   6.5956
  242.371,  243.929,  9.50468, 13.33601,   6.8259,   6.6141
  242.539,  244.111,  9.49695, 13.33949,   6.7973,   6.6324
  242.708,  244.293,  9.48917, 13.34298,   6.7686,   6.6506
  242.877,  244.475,  9.48133, 13.34647,   6.7398,   6.6687
  243.046,  244.657,  9.47343, 13.34997,   6.7108,   6.6866
  243.215,  244.840,  9.46546, 13.35347,   6.6817,   6.7045
  243.383,  245.022,  9.45744, 13.35698,   6.6525,   6.7222
  243.552,  245.204,  9.44935, 13.36049,   6.6231,   6.7397
  243.721,  245.386,  9.44120, 13.36402,   6.5937,   6.7572
  243.890,  245.568,  9.43299, 13.36754,   6.5641,   6.7745
  244.058,  245.750,  9.42472, 13.37108,   6.5344,   6.7917
  244.227,  245.933,  9.41639, 13.37462,   6.5045,   6.8088
  244.396,  246.115,  9.40800, 13.37816,   6.4746,   6.8257
  244.565,  246.297,  9.39954, 13.38172,   6.4445,   6.8425
  244.734,  246.479,  9.39103, 13.38527,   6.4143,   6.8592
  244.902,  246.662,  9.38245, 13.38884,   6.3839,   6.8757
  245.071,  246.844,  9.37381, 13.39241,   6.3535,   6.8921
  245.240,  247.026,  9.36511, 13.39599,   6.3229,   6.9084
  245.409,  247.209,  9.35635, 13.39958,   6.2922,   6.9246
  245.578,  247.391,  9.34753, 13.40317,   6.2614,   6.9406
  245.746,  247.573,  9.33864, 13.40677,   6.2304,   6.9564
  245.915,  247.756,  9.32970, 13.41037,   6.1994,   6.9722
  246.084,  247.938,  9.32069, 13.41399,   6.1682,   6.9878
  246.253,  248.121,  9.31162, 13.41761,   6.1369,   7.0032
  246.421,  248.303,  9.30249, 13.42123,   6.1054,   7.0185
  246.590,  248.486,  9.29330, 13.42487,   6.0739,   7.0337
  246.759,  248.668,  9.28404, 13.42851,   6.0422,   7.0488
  246.928,  248.851,  9.27472, 13.43216,   6.0104,   7.0637
  247.097,  249.033,  9.26535, 13.43581,   5.9785,   7.0784
  247.265,  249.216,  9.25591, 13.43948,   5.9465,   7.0931
  247.434,  249.398,  9.24640, 13.44315,   5.9143,   7.1075
  247.603,  249.581,  9.23684, 13.44683,   5.8820,   7.1219
  247.772,  249.764,  9.22721, 13.45051,   5.8496,   7.1361
  247.940,  249.946,  9.21753, 13.45421,   5.8171,   7.1501
  248.109,  250.129,  9.20777, 13.45791,   5.7845,   7.1640
  248.278,  250.312,  9.19796, 13.46162,   5.7517,   7.1777
  248.447,  250.495,  9.18809, 13.46533,   5.7189,   7.1914
  248.616,  250.677,  9.17815, 13.46906,   5.6859,   7.2048
  248.784,  250.860,  9.16815, 13.47279,   5.6528,   7.2181
  248.953,  251.043,  9.15809, 13.47653,   5.6196,   7.2313
  249.122,  251.226,  9.14797, 13.48028,   5.5862,   7.2443
  249.291,  251.409,  9.13778, 13.48404,   5.5528,   7.2571
  249.459,  251.592,  9.12753, 13.48781,   5.5192,   7.2698
  249.628,  251.775,  9.11722, 13.49158,   5.4855,   7.2824
  249.797,  251.958,  9.10684, 13.49537,   5.4517,   7.2948
  249.966,  252.140,  9.09641, 13.49916,   5.4178,   7.3070
  250.135,  252.323,  9.08591, 13.50296,   5.3837,   7.3191
  250.303,  252.507,  9.07535, 13.50677,   5.3496,   7.3310
  250.472,  252.690,  9.06472, 13.51059,   5.3153,   7.3428
  250.641,  252.873,  9.05403, 13.51442,   5.2809,   7.3544
  250.810,  253.056,  9.04328, 13.51826,   5.2464,   7.3659
  250.979,  253.239,  9.03247, 13.52210,   5.2118,   7.3771
  251.147,  253.422,  9.02160, 13.52596,   5.1771,   7.3883
  251.316,  253.605,  9.01066, 13.52982,   5.1423,   7.3992
  251.485,  253.788,  8.99965, 13.53370,   5.1073,   7.4101
  251.654,  253.972,  8.98859, 13.53758,   5.0723,   7.4207
  251.822,  254.155,  8.97746, 13.54147,   5.0371,   7.4312
  251.991,  254.338,  8.96627, 13.54538,   5.0018,   7.4415
  252.160,  254.522,  8.95502, 13.54929,   4.9664,   7.4516
  252.329,  254.705,  8.94370, 13.55321,   4.9309,   7.4616
  252.498,  254.888,  8.93232, 13.55714,   4.8953,   7.4714
  252.666,  255.072,  8.92087, 13.56109,   4.8596,   7.4811
  252.835,  255.255,  8.90937, 13.56504,   4.8237,   7.4906
  253.004,  255.439,  8.89780, 13.56900,   4.7878,   7.4999
  253.173,  255.622,  8.88616, 13.57298,   4.7517,   7.5090
  253.341,  255.806,  8.87447, 13.57696,   4.7156,   7.5180
  253.510,  255.989,  8.86270, 13.58095,   4.6793,   7.5267
  253.679,  256.173,  8.85088, 13.58496,   4.6429,   7.5354
  253.848,  256.357,  8.83899, 13.58897,   4.6064,   7.5438
  254.017,  256.540,  8.82704, 13.59300,   4.5698,   7.5521
  254.185,  256.724,  8.81502, 13.59704,   4.5331,   7.5601
  254.354,  256.908,  8.80294, 13.60109,   4.4963,   7.5680
  254.523,  257.091,  8.79080, 13.60515,   4.4594,   7.5758
  254.692,  257.275,  8.77859, 13.60922,   4.4223,   7.5833
  254.861,  257.459,  8.76632, 13.61330,   4.3852,   7.5907
  255.029,  257.643,  8.75399, 13.61739,   4.3480,   7.5979
  255.198,  257.827,  8.74159, 13.62150,   4.3106,   7.6049
  255.367,  258.011,  8.72913, 13.62562,   4.2732,   7.6117
  255.536,  258.195,  8.71660, 13.62975,   4.2356,   7.6183
  255.704,  258.379,  8.70401, 13.63389,   4.1980,   7.6248
  255.873,  258.563,  8.69136, 13.63804,   4.1602,   7.6310
  256.042,  258.747,  8.67864, 13.64220,   4.1223,   7.6371
  256.211,  258.931,  8.66585, 13.64638,   4.0844,   7.6430
  256.380,  259.115,  8.65301, 13.65057,   4.0463,   7.6487
  256.548,  259.299,  8.64009, 13.65477,   4.0081,   7.6542
  256.717,  259.483,  8.62712, 13.65899,   3.9699,   7.6595
  256.886,  259.668,  8.61408, 13.66322,   3.9315,   7.6646
  257.055,  259.852,  8.60097, 13.66746,   3.8930,   7.6695
  257.223,  260.036,  8.58780, 13.67171,   3.8545,   7.6742
  257.392,  260.221,  8.57457, 13.67598,   3.8158,   7.6787
  257.561,  260.405,  8.56127, 13.68026,   3.7770,   7.6831
  257.730,  260.589,  8.54791, 13.68455,   3.7382,   7.6872
  257.899,  260.774,  8.53448, 13.68886,   3.6992,   7.6911
  258.067,  260.958,  8.52099, 13.69318,   3.6602,   7.6948
  258.236,  261.143,  8.50743, 13.69751,   3.6210,   7.6984
  258.405,  261.327,  8.49381, 13.70186,   3.5818,   7.7017
  258.574,  261.512,  8.48012, 13.70622,   3.5424,   7.7048
  258.742,  261.697,  8.46637, 13.71059,   3.5030,   7.7077
  258.911,  261.881,  8.45255, 13.71498,   3.4635,   7.7104
  259.080,  262.066,  8.43867, 13.71939,   3.4238,   7.7129
  259.249,  262.251,  8.42473, 13.72381,   3.3841,   7.7152
  259.418,  262.436,  8.41072, 13.72824,   3.3443,   7.7172
  259.586,  262.621,  8.39664, 13.73269,   3.3044,   7.7191
  259.755,  262.806,  8.38250, 13.73715,   3.2644,   7.7207
  259.924,  262.991,  8.36829, 13.74163,   3.2243,   7.7222
  260.093,  263.176,  8.35402, 13.74613,   3.1841,   7.7234
  260.262,  263.361,  8.33968, 13.75064,   3.1439,   7.7244
  260.430,  263.546,  8.32528, 13.75516,   3.1035,   7.7252
  260.599,  263.731,  8.31081, 13.75970,   3.0631,   7.7257
  260.768,  263.916,  8.29628, 13.76426,   3.0226,   7.7261
  260.937,  264.101,  8.28168, 13.76883,   2.9819,   7.7262
  261.105,  264.286,  8.26702, 13.77342,   2.9412,   7.7261
  261.274,  264.472,  8.25229, 13.77802,   2.9004,   7.7258
  261.443,  264.657,  8.23749, 13.78265,   2.8596,   7.7252
  261.612,  264.842,  8.22263, 13.78728,   2.8186,   7.7244
  261.781,  265.028,  8.20771, 13.79194,   2.7776,   7.7234
  261.949,  265.213,  8.19272, 13.79661,   2.7365,   7.7222
  262.118,  265.399,  8.17766, 13.80130,   2.6953,   7.7207
  262.287,  265.585,  8.16254, 13.80601,   2.6540,   7.7190
  262.456,  265.770,  8.14735, 13.81073,   2.6126,   7.7171
  262.624,  265.956,  8.13210, 13.81547,   2.5712,   7.7149
  262.793,  266.142,  8.11678, 13.82023,   2.5296,   7.7125
  262.962,  266.327,  8.10139, 13.82501,   2.4880,   7.7099
  263.131,  266.513,  8.08594, 13.82981,   2.4464,   7.7070
  263.300,  266.699,  8.07043, 13.83462,   2.4046,   7.7039
  263.468,  266.885,  8.05484, 13.83945,   2.3628,   7.7005
  263.637,  267.071,  8.03920, 13.84430,   2.3209,   7.6969
  263.806,  267.257,  8.02348, 13.84918,   2.2789,   7.6930
  263.975,  267.443,  8.00770, 13.85407,   2.2368,   7.6889
  264.144,  267.629,  7.99186, 13.85897,   2.1947,   7.6846
  264.312,  267.815,  7.97594, 13.86390,   2.1525,   7.6800
  264.481,  268.002,  7.95997, 13.86885,   2.1102,   7.6751
  264.650,  268.188,  7.94392, 13.87382,   2.0679,   7.6700
  264.819,  268.374,  7.92781, 13.87881,   2.0255,   7.6647
  264.987,  268.561,  7.91164, 13.88382,   1.9830,   7.6591
  265.156,  268.747,  7.89540, 13.88885,   1.9405,   7.6532
  265.325,  268.934,  7.87909, 13.89390,   1.8979,   7.6471
  265.494,  269.120,  7.86271, 13.89897,   1.8552,   7.6407
  265.663,  269.307,  7.84627, 13.90406,   1.8125,   7.6341
  265.831,  269.494,  7.82977, 13.90917,   1.7697,   7.6271
  266.000,  269.680,  7.81320, 13.91431,   1.7269,   7.6200
  266.169,  269.867,  7.79656, 13.91947,   1.6839,   7.6125
  266.338,  270.054,  7.77985, 13.92465,   1.6410,   7.6048
  266.506,  270.241,  7.76308, 13.92985,   1.5979,   7.5968
  266.675,  270.428,  7.74625, 13.93507,   1.5548,   7.5886
  266.844,  270.615,  7.72934, 13.94032,   1.5117,   7.5801
  267.013,  270.802,  7.71237, 13.94559,   1.4685,   7.5713
  267.182,  270.989,  7.69534, 13.95088,   1.4252,   7.5622
  267.350,  271.176,  7.67824, 13.95620,   1.3819,   7.5529
  267.519,  271.364,  7.66107, 13.96154,   1.3386,   7.5432
  267.688,  271.551,  7.64384, 13.96691,   1.2952,   7.5333
  267.857,  271.739,  7.62654, 13.97230,   1.2517,   7.5231
  268.025,  271.926,  7.60917, 13.97771,   1.2082,   7.5126
  268.194,  272.114,  7.59174, 13.98315,   1.1647,   7.5019
  268.363,  272.301,  7.57424, 13.98861,   1.1211,   7.4908
  268.532,  272.489,  7.55668, 13.99410,   1.0774,   7.4795
  268.701,  272.677,  7.53905, 13.99961,   1.0337,   7.4678
  268.869,  272.864,  7.52135, 14.00515,   0.9900,   7.4559
  269.038,  273.052,  7.50359, 14.01072,   0.9463,   7.4437
  269.207,  273.240,  7.48576, 14.01631,   0.9025,   7.4312
  269.376,  273.428,  7.46786, 14.02193,   0.8586,   7.4183
  269.545,  273.616,  7.44990, 14.02758,   0.8148,   7.4052
  269.713,  273.805,  7.43188, 14.03326,   0.7709,   7.3918
  269.882,  273.993,  7.41378, 14.03896,   0.7269,   7.3781
  270.051,  274.181,  7.39562, 14.04469,   0.6830,   7.3640
  270.220,  274.369,  7.37740, 14.05045,   0.6390,   7.3497
  270.388,  274.558,  7.35911, 14.05623,   0.5950,   7.3350
  270.557,  274.746,  7.34075, 14.06205,   0.5509,   7.3201
  270.726,  274.935,  7.32233, 14.06789,   0.5068,   7.3048
  270.895,  275.124,  7.30384, 14.07377,   0.4628,   7.2892
  271.064,  275.312,  7.28529, 14.07967,   0.4186,   7.2733
  271.232,  275.501,  7.26667, 14.08561,   0.3745,   7.2570
  271.401,  275.690,  7.24799, 14.09157,   0.3304,   7.2405
  271.570,  275.879,  7.22923, 14.09757,   0.2862,   7.2236
  271.739,  276.068,  7.21042, 14.10359,   0.2420,   7.2064
  271.907,  276.257,  7.19154, 14.10965,   0.1978,   7.1888
  272.076,  276.447,  7.17259, 14.11574,   0.1537,   7.1709
  272.245,  276.636,  7.15358, 14.12187,   0.1095,   7.1527
  272.414,  276.825,  7.13450, 14.12802,   0.0652,   7.1342
  272.583,  277.015,  7.11536, 14.13421,   0.0210,   7.1153
  272.751,  277.204,  7.09615, 14.14043,  -0.0232,   7.0961
  272.920,  277.394,  7.07688, 14.14669,  -0.0674,   7.0766
  273.089,  277.584,  7.05754, 14.15298,  -0.1116,   7.0567
  273.258,  277.773,  7.03814, 14.15930,  -0.1558,   7.0364
  273.427,  277.963,  7.01867, 14.16566,  -0.2000,   7.0158
