      phi,        r
    1.3928,    4.8228
    1.3980,    4.9429
    1.4032,    5.0692
    1.4085,    5.2023
    1.4137,    5.3427
    1.4190,    5.4911
    1.4242,    5.6480
    1.4294,    5.8144
    1.4347,    5.9911
    1.4399,    6.1790
    1.4451,    6.3793
    1.4504,    6.5931
    1.4556,    6.8220
    1.4608,    7.0675
    1.4661,    7.3316
    1.4713,    7.6164
    1.4765,    7.9245
    1.4818,    8.2587
    1.4870,    8.6227
    1.4923,    9.0204
    1.4975,    9.4569
    1.5027,    9.9381
    1.5080,   10.4711
    1.5132,   11.0649
    1.5184,   11.7304
    1.5237,   12.4815
    1.5289,   13.3357
    1.5341,   14.3158
    1.5394,   15.4520
    1.5446,   16.7844
    1.5499,   18.3690
    1.5551,   20.2844
    1.5603,   22.6466
    1.5656,   25.6323
    1.5708,   29.5257
